Timeline,Start time,Duration,Row,Instance number,2 Cross,Action,Box Touch Number,Lineup,LiveDrills,On Court,PossessionType,Reversal Number,Shot Quality,Teaching,Ungrouped,Notes,Flags
251010,781.1981456932172,17.5757817167829,Grey,1,,"Post Touch, Post Feed, -3",Box Touch 0, | #2 Tyler Doyle | #5 Myles Watkins | #8 Kenyon Goodin | #10 Grant Whitaker | #32 Jack Karasinki,Scramble,"#2 Tyler Doyle, #5 Myles Watkins, #8 Kenyon Goodin, #10 Grant Whitaker, #32 Jack Karasinki",Half Court,Reversal 0,Shot Qual 3,,,,
251010,796.8047106246095,4.8013580833904825,Grey,2,,+2,Box Touch 0, | #2 Tyler Doyle | #5 Myles Watkins | #8 Kenyon Goodin | #10 Grant Whitaker | #32 Jack Karasinki,Scramble,"#2 Tyler Doyle, #5 Myles Watkins, #8 Kenyon Goodin, #10 Grant Whitaker, #32 Jack Karasinki",Other,Reversal 0,Shot Qual 4,,,,
251010,816.6978204479342,23.5379969610658,Grey,3,,-3,Box Touch 0, | #2 Tyler Doyle | #5 Myles Watkins | #8 Kenyon Goodin | #10 Grant Whitaker | #32 Jack Karasinki,Scramble,"#2 Tyler Doyle, #5 Myles Watkins, #8 Kenyon Goodin, #10 Grant Whitaker, #32 Jack Karasinki",Half Court,Reversal 1,Shot Qual 3,,,,
251010,839.043287503,6.880803155999956,Grey,4,,+2,Box Touch 2, | #2 Tyler Doyle | #5 Myles Watkins | #8 Kenyon Goodin | #10 Grant Whitaker | #32 Jack Karasinki,Scramble,"#2 Tyler Doyle, #5 Myles Watkins, #8 Kenyon Goodin, #10 Grant Whitaker, #32 Jack Karasinki",Other,Reversal 0,Shot Qual 4,,,,
251010,868.8983917606481,17.077759958351862,Grey,5,,,Box Touch 0, | #2 Tyler Doyle | #5 Myles Watkins | #8 Kenyon Goodin | #10 Grant Whitaker | #32 Jack Karasinki,Scramble,"#2 Tyler Doyle, #5 Myles Watkins, #8 Kenyon Goodin, #10 Grant Whitaker, #32 Jack Karasinki",Half Court,Reversal 0,No Shot,,,,
251010,977.8978041388974,15.78960800610264,Grey,6,,+2,Box Touch 1, | #2 Tyler Doyle | #5 Myles Watkins | #8 Kenyon Goodin | #11 Brian Waddell | #32 Jack Karasinki,Scramble,"#2 Tyler Doyle, #5 Myles Watkins, #8 Kenyon Goodin, #11 Brian Waddell, #32 Jack Karasinki",Half Court,Reversal 0,Shot Qual 4,Teaching Clip,,,
251010,1029.9981246396283,10.96457529137183,Grey,7,,,Box Touch 0, | #2 Tyler Doyle | #5 Myles Watkins | #8 Kenyon Goodin | #11 Brian Waddell | #32 Jack Karasinki,Scramble,"#2 Tyler Doyle, #5 Myles Watkins, #8 Kenyon Goodin, #11 Brian Waddell, #32 Jack Karasinki",Half Court,Reversal 0,No Shot,,,,
251010,1054.6985505196144,11.991849917385707,Grey,8,,-3,Box Touch 0, | #2 Tyler Doyle | #5 Myles Watkins | #8 Kenyon Goodin | #11 Brian Waddell | #32 Jack Karasinki,Scramble,"#2 Tyler Doyle, #5 Myles Watkins, #8 Kenyon Goodin, #11 Brian Waddell, #32 Jack Karasinki",Half Court,Reversal 0,Shot Qual 2,,,,
251010,1064.098549148205,15.042198363795023,Grey,9,,"Post Touch, Post Feed, +3",Box Touch 0, | #2 Tyler Doyle | #5 Myles Watkins | #8 Kenyon Goodin | #11 Brian Waddell | #32 Jack Karasinki,Scramble,"#2 Tyler Doyle, #5 Myles Watkins, #8 Kenyon Goodin, #11 Brian Waddell, #32 Jack Karasinki",Other,Reversal 1,Shot Qual 3,Teaching Clip,,,
251010,1087.6982867356278,16.217495869372215,Grey,10,,+3,Box Touch 1, | #2 Tyler Doyle | #5 Myles Watkins | #8 Kenyon Goodin | #11 Brian Waddell | #32 Jack Karasinki,Scramble,"#2 Tyler Doyle, #5 Myles Watkins, #8 Kenyon Goodin, #11 Brian Waddell, #32 Jack Karasinki",Half Court,Reversal 0,Shot Qual 3,Teaching Clip,,,
