Timeline,Start time,Duration,Row,Instance number,Action,Box Touch Number,Lineup,LiveDrills,On Court,PossessionType,Reversal Number,Shot Quality,Teaching,Ungrouped,Notes,Flags
.SCTimeline,3463.598,21.508000000000266,Red,1,,Box Touch 3, | #0 Tommy Clark | #4 Grant Neal | #5 Myles Watkins | #7 Donovan Hunter | #22 Darrius Bolden,Scramble,"#0 Tommy Clark, #4 Grant Neal, #5 Myles Watkins, #7 Donovan Hunter, #22 Darrius Bolden",Half Court,Reversal 1,"Foul Drawn, No Shot",,,,
.SCTimeline,3491.462,20.840999999999894,Red,2,,Box Touch 2, | #0 Tommy Clark | #4 Grant Neal | #5 Myles Watkins | #7 Donovan Hunter | #22 Darrius Bolden,Scramble,"#0 Tommy Clark, #4 Grant Neal, #5 Myles Watkins, #7 Donovan Hunter, #22 Darrius Bolden",Half Court,Reversal 1,No Shot,,,,
.SCTimeline,3583.898,21.570999999999913,Red,3,-3,Box Touch 0, | #0 Tommy Clark | #4 Grant Neal | #5 Myles Watkins | #7 Donovan Hunter | #22 Darrius Bolden,Scramble,"#4 Grant Neal, #5 Myles Watkins, #7 Donovan Hunter, #22 Darrius Bolden, #0 Tommy Clark",Half Court,Reversal 3,Shot Qual 3,,,,
.SCTimeline,3641.096,11.422999999999774,Red,4,-3,Box Touch 0, | #4 Grant Neal | #5 Myles Watkins | #7 Donovan Hunter | #22 Darrius Bolden | #44 Jacob Wassler,Scramble,"#4 Grant Neal, #5 Myles Watkins, #7 Donovan Hunter, #22 Darrius Bolden, #44 Jacob Wassler",Half Court,Reversal 1,Shot Qual 3,,,,
.SCTimeline,3650.514,3.6340000000000146,Red,5,+2,Box Touch 1, | #4 Grant Neal | #5 Myles Watkins | #7 Donovan Hunter | #22 Darrius Bolden | #44 Jacob Wassler,Scramble,"#4 Grant Neal, #5 Myles Watkins, #7 Donovan Hunter, #22 Darrius Bolden, #44 Jacob Wassler",Half Court,Reversal 0,Shot Qual 4,,,,
.SCTimeline,3683.698,10.235000000000127,Red,6,,Box Touch 0, | #4 Grant Neal | #5 Myles Watkins | #7 Donovan Hunter | #22 Darrius Bolden | #44 Jacob Wassler,Scramble,"#4 Grant Neal, #5 Myles Watkins, #7 Donovan Hunter, #22 Darrius Bolden, #44 Jacob Wassler",Half Court,Reversal 0,No Shot,,,,
.SCTimeline,3708.998,7.684999999999945,Red,7,,Box Touch 0, | #4 Grant Neal | #5 Myles Watkins | #7 Donovan Hunter | #22 Darrius Bolden | #44 Jacob Wassler,Scramble,"#4 Grant Neal, #5 Myles Watkins, #7 Donovan Hunter, #22 Darrius Bolden, #44 Jacob Wassler",Half Court,Reversal 0,No Shot,,,,
.SCTimeline,3767.231,23.365999999999985,Red,8,-3,Box Touch 1, | #0 Tommy Clark | #4 Grant Neal | #5 Myles Watkins | #7 Donovan Hunter | #22 Darrius Bolden,Scramble,"#0 Tommy Clark, #4 Grant Neal, #5 Myles Watkins, #7 Donovan Hunter, #22 Darrius Bolden",Half Court,Reversal 3,Shot Qual 3,Good O,,,
.SCTimeline,3788.661,8.896999999999935,Red,9,-3,Box Touch 0, | #0 Tommy Clark | #4 Grant Neal | #5 Myles Watkins | #7 Donovan Hunter | #22 Darrius Bolden,Scramble,"#0 Tommy Clark, #4 Grant Neal, #5 Myles Watkins, #7 Donovan Hunter, #22 Darrius Bolden",Half Court,Reversal 1,Shot Qual 1,,,,
.SCTimeline,3795.444,7.690000000000055,Red,10,,Box Touch 0, | #0 Tommy Clark | #4 Grant Neal | #5 Myles Watkins | #7 Donovan Hunter | #22 Darrius Bolden,Scramble,"#0 Tommy Clark, #4 Grant Neal, #5 Myles Watkins, #7 Donovan Hunter, #22 Darrius Bolden",Half Court,Reversal 0,"Foul Drawn, No Shot",,,,
.SCTimeline,3811.598,16.5300000000002,Red,11,-3,Box Touch 0, | #0 Tommy Clark | #4 Grant Neal | #5 Myles Watkins | #7 Donovan Hunter | #22 Darrius Bolden,Scramble,"#0 Tommy Clark, #4 Grant Neal, #5 Myles Watkins, #7 Donovan Hunter, #22 Darrius Bolden",Half Court,Reversal 2,Shot Qual 2,,,,
