Timeline,Start time,Duration,Row,Instance number,Action,Box Touch Number,Lineup,LiveDrills,On Court,PossessionType,Reversal Number,Shot Quality,Teaching,Ungrouped,Notes,Flags
251013,573.297986705518,23.052540713481903,Grey,1,,Box Touch 0, | #2 Tyler Doyle | #8 Kenyon Goodin | #11 Brian Waddell | #22 Darrius Bolden | #32 Jack Karasinki,Scramble,"#2 Tyler Doyle, #8 Kenyon Goodin, #11 Brian Waddell, #22 Darrius Bolden, #32 Jack Karasinki",Half Court,Reversal 3,No Shot,,,,
251013,637.0987116512065,17.911900543793536,Grey,2,+3,Box Touch 1, | #2 Tyler Doyle | #8 Kenyon Goodin | #23 Sam Donald | #24 Michael Wilson | #32 Jack Karasinki,Scramble,"#2 Tyler Doyle, #8 Kenyon Goodin, #23 Sam Donald, #24 Michael Wilson, #32 Jack Karasinki",Half Court,Reversal 1,Shot Qual 3,Teaching Clip,,,
251013,661.8977683106752,21.112240754324716,Grey,3,,Box Touch 0, | #2 Tyler Doyle | #8 Kenyon Goodin | #23 Sam Donald | #24 Michael Wilson | #32 Jack Karasinki,Scramble,"#2 Tyler Doyle, #8 Kenyon Goodin, #23 Sam Donald, #24 Michael Wilson, #32 Jack Karasinki",Half Court,Reversal 1,"Foul Drawn, Shot Qual 4",,,,
251013,697.7976923062761,17.969103078723947,Grey,4,,Box Touch 0, | #2 Tyler Doyle | #8 Kenyon Goodin | #23 Sam Donald | #24 Michael Wilson | #32 Jack Karasinki,Scramble,"#2 Tyler Doyle, #8 Kenyon Goodin, #23 Sam Donald, #24 Michael Wilson, #32 Jack Karasinki",Half Court,Reversal 0,No Shot,,,,
251013,825.4985110142372,20.677848731762765,Grey,5,"Post Feed, Post Touch, +3",Box Touch 0, | #2 Tyler Doyle | #8 Kenyon Goodin | #11 Brian Waddell | #22 Darrius Bolden | #32 Jack Karasinki,Scramble,"#2 Tyler Doyle, #8 Kenyon Goodin, #11 Brian Waddell, #22 Darrius Bolden, #32 Jack Karasinki",Half Court,Reversal 3,Shot Qual 3,Teaching Clip,,,
251013,906.7983387638818,19.83644189811821,Grey,6,+3,Box Touch 0, | #2 Tyler Doyle | #8 Kenyon Goodin | #11 Brian Waddell | #22 Darrius Bolden | #32 Jack Karasinki,Scramble,"#2 Tyler Doyle, #8 Kenyon Goodin, #11 Brian Waddell, #22 Darrius Bolden, #32 Jack Karasinki",Half Court,Reversal 2,Shot Qual 2,,,,
251013,934.6984888743717,21.017853029628327,Grey,7,-3,Box Touch 0, | #2 Tyler Doyle | #8 Kenyon Goodin | #11 Brian Waddell | #22 Darrius Bolden | #32 Jack Karasinki,Scramble,"#2 Tyler Doyle, #8 Kenyon Goodin, #11 Brian Waddell, #22 Darrius Bolden, #32 Jack Karasinki",Half Court,Reversal 1,Shot Qual 3,,,,
251013,1319.5980290816365,28.410374146363438,Grey,8,-3,Box Touch 1, | #2 Tyler Doyle | #8 Kenyon Goodin | #11 Brian Waddell | #24 Michael Wilson | #32 Jack Karasinki,Baseline Touch,"#2 Tyler Doyle, #8 Kenyon Goodin, #11 Brian Waddell, #24 Michael Wilson, #32 Jack Karasinki",Half Court,Reversal 2,Shot Qual 3,,,,
251013,1368.4113222222222,21.52166490177774,Grey,9,-2,Box Touch 1, | #2 Tyler Doyle | #8 Kenyon Goodin | #11 Brian Waddell | #24 Michael Wilson | #32 Jack Karasinki,Baseline Touch,"#2 Tyler Doyle, #8 Kenyon Goodin, #11 Brian Waddell, #24 Michael Wilson, #32 Jack Karasinki",Other,Reversal 1,Shot Qual 1,,,,
251013,1472.0978869982534,24.332175272746554,Grey,10,,Box Touch 0, | #2 Tyler Doyle | #8 Kenyon Goodin | #22 Darrius Bolden | #23 Sam Donald | #24 Michael Wilson,Baseline Touch,"#2 Tyler Doyle, #8 Kenyon Goodin, #22 Darrius Bolden, #23 Sam Donald, #24 Michael Wilson",Half Court,Reversal 2,No Shot,,,,
251013,1524.4955222222222,11.173842533777815,Grey,11,-2,Box Touch 0, | #2 Tyler Doyle | #8 Kenyon Goodin | #22 Darrius Bolden | #23 Sam Donald | #24 Michael Wilson,Baseline Touch,"#2 Tyler Doyle, #8 Kenyon Goodin, #22 Darrius Bolden, #23 Sam Donald, #24 Michael Wilson",Other,Reversal 1,Shot Qual 1,,,,
251013,1534.014871954,15.447570625000026,Grey,12,,Box Touch 0, | #2 Tyler Doyle | #8 Kenyon Goodin | #22 Darrius Bolden | #23 Sam Donald | #24 Michael Wilson,Baseline Touch,"#2 Tyler Doyle, #8 Kenyon Goodin, #22 Darrius Bolden, #23 Sam Donald, #24 Michael Wilson",Other,Reversal 1,No Shot,,,,
251013,1599.7981851093548,21.403463812645214,Grey,13,-3,Box Touch 0, | #8 Kenyon Goodin | #11 Brian Waddell | #22 Darrius Bolden | #24 Michael Wilson | #32 Jack Karasinki,Baseline Touch,"#8 Kenyon Goodin, #11 Brian Waddell, #22 Darrius Bolden, #24 Michael Wilson, #32 Jack Karasinki",Half Court,Reversal 3,Shot Qual 1,,,,
251013,1747.8985817900154,18.34819669198464,Grey,14,+2,Box Touch 1, | #2 Tyler Doyle | #11 Brian Waddell | #22 Darrius Bolden | #23 Sam Donald | #24 Michael Wilson,Baseline Touch,"#2 Tyler Doyle, #11 Brian Waddell, #22 Darrius Bolden, #23 Sam Donald, #24 Michael Wilson",Half Court,Reversal 1,Shot Qual 4,,,,
251013,1804.2987182359375,19.552431554062423,Grey,15,-3,Box Touch 0, | #2 Tyler Doyle | #8 Kenyon Goodin | #11 Brian Waddell | #23 Sam Donald | #32 Jack Karasinki,Baseline Touch,"#2 Tyler Doyle, #8 Kenyon Goodin, #11 Brian Waddell, #23 Sam Donald, #32 Jack Karasinki",Half Court,Reversal 3,Shot Qual 3,Teaching Clip,,,
251013,1896.2407948046039,23.315101802396157,Grey,16,"Post Feed, Post Touch",Box Touch 0, | #2 Tyler Doyle | #8 Kenyon Goodin | #11 Brian Waddell | #24 Michael Wilson | #32 Jack Karasinki,Baseline Touch,"#2 Tyler Doyle, #8 Kenyon Goodin, #11 Brian Waddell, #24 Michael Wilson, #32 Jack Karasinki",Half Court,Reversal 1,No Shot,Teaching Clip,,,
251013,2381.3978490136064,24.09650669439361,Grey,17,-3,Box Touch 0, | #4 Grant Neal | #8 Kenyon Goodin | #11 Brian Waddell | #24 Michael Wilson,4v4,"#4 Grant Neal, #8 Kenyon Goodin, #11 Brian Waddell, #24 Michael Wilson",Half Court,Reversal 1,Shot Qual 1,,,,
251013,2419.853311111111,14.804703360889107,Grey,18,+3,Box Touch 0, | #4 Grant Neal | #8 Kenyon Goodin | #11 Brian Waddell | #24 Michael Wilson,4v4,"#4 Grant Neal, #8 Kenyon Goodin, #11 Brian Waddell, #24 Michael Wilson",Half Court,Reversal 0,Shot Qual 2,,,,
251013,2445.197782062982,15.651096492018041,Grey,19,+2,Box Touch 1, | #4 Grant Neal | #8 Kenyon Goodin | #11 Brian Waddell | #24 Michael Wilson,4v4,"#4 Grant Neal, #8 Kenyon Goodin, #11 Brian Waddell, #24 Michael Wilson",Half Court,Reversal 1,Shot Qual 3,,,,
251013,2471.198410556613,21.349814588386835,Grey,20,+2,Box Touch 1, | #4 Grant Neal | #8 Kenyon Goodin | #11 Brian Waddell | #24 Michael Wilson,4v4,"#4 Grant Neal, #8 Kenyon Goodin, #11 Brian Waddell, #24 Michael Wilson",Half Court,Reversal 0,Shot Qual 3,,,,
251013,2499.6976676756267,22.7392277143731,Grey,21,+3,Box Touch 0, | #4 Grant Neal | #8 Kenyon Goodin | #11 Brian Waddell | #24 Michael Wilson,4v4,"#4 Grant Neal, #8 Kenyon Goodin, #11 Brian Waddell, #24 Michael Wilson",Half Court,Reversal 0,Shot Qual 1,,,,
