Timeline,Start time,Duration,Row,Instance number,2 Cross,Action,Box Touch Number,Lineup,LiveDrills,On Court,PossessionType,Reversal Number,Shot Quality,Teaching,Ungrouped,Notes,Flags
251011,0.0,14.661126335,Grey,1,,+3,Box Touch 1, | #5 Myles Watkins | #8 Kenyon Goodin | #11 Brian Waddell | #23 Sam Donald | #24 Michael Wilson,Scramble,"#5 Myles Watkins, #8 Kenyon Goodin, #11 Brian Waddell, #23 Sam Donald, #24 Michael Wilson",Half Court,Reversal 3,Shot Qual 3,,,,
251011,46.097868179382736,19.16844428861726,Grey,2,,+2,Box Touch 0, | #5 Myles Watkins | #8 Kenyon Goodin | #11 Brian Waddell | #23 Sam Donald | #24 Michael Wilson,Scramble,"#5 Myles Watkins, #8 Kenyon Goodin, #11 Brian Waddell, #23 Sam Donald, #24 Michael Wilson",Half Court,Reversal 0,Shot Qual 1,,,,
251011,98.79817343031561,21.265045361684386,Grey,3,,"Post Feed, Post Touch, -3",Box Touch 0, | #5 Myles Watkins | #8 Kenyon Goodin | #11 Brian Waddell | #23 Sam Donald | #24 Michael Wilson,Scramble,"#5 Myles Watkins, #8 Kenyon Goodin, #11 Brian Waddell, #23 Sam Donald, #24 Michael Wilson",Half Court,Reversal 2,Shot Qual 2,,,,
251011,243.99713192955534,22.941124657444675,Grey,4,,,Box Touch 0, | #2 Tyler Doyle | #5 Myles Watkins | #8 Kenyon Goodin | #11 Brian Waddell | #15 Luke Anderson,War Scramble,"#2 Tyler Doyle, #5 Myles Watkins, #8 Kenyon Goodin, #11 Brian Waddell, #15 Luke Anderson",Half Court,Reversal 1,"Foul Drawn, Shot Qual 4",,,,
251011,386.10027740392354,12.333586909076473,Grey,5,,-2,Box Touch 1, | #2 Tyler Doyle | #5 Myles Watkins | #8 Kenyon Goodin | #23 Sam Donald | #24 Michael Wilson,War Scramble,"#2 Tyler Doyle, #5 Myles Watkins, #8 Kenyon Goodin, #23 Sam Donald, #24 Michael Wilson",Transition,Reversal 0,Shot Qual 3,,,,
251011,438.89790912733855,14.20733019166147,Grey,6,,+2,Box Touch 1, | #2 Tyler Doyle | #5 Myles Watkins | #8 Kenyon Goodin | #23 Sam Donald | #24 Michael Wilson,War Scramble,"#2 Tyler Doyle, #5 Myles Watkins, #8 Kenyon Goodin, #23 Sam Donald, #24 Michael Wilson",Half Court,Reversal 0,Shot Qual 4,Teaching Clip,,,
251011,465.39838859759976,23.78951531640024,Grey,7,,+2,Box Touch 1, | #2 Tyler Doyle | #5 Myles Watkins | #8 Kenyon Goodin | #23 Sam Donald | #24 Michael Wilson,War Scramble,"#2 Tyler Doyle, #5 Myles Watkins, #8 Kenyon Goodin, #23 Sam Donald, #24 Michael Wilson",Half Court,Reversal 2,Shot Qual 4,Teaching Clip,,,
251011,620.3977799579083,23.62640600809175,Grey,8,,-3,Box Touch 0, | #2 Tyler Doyle | #5 Myles Watkins | #8 Kenyon Goodin | #11 Brian Waddell | #15 Luke Anderson,War Scramble,"#2 Tyler Doyle, #5 Myles Watkins, #8 Kenyon Goodin, #11 Brian Waddell, #15 Luke Anderson",Half Court,Reversal 1,Shot Qual 3,Teaching Clip,,,
251011,1525.298623555525,14.090711834475087,Grey,9,,-2,Box Touch 1, | #2 Tyler Doyle | #7 Donovan Hunter | #22 Darrius Bolden | #24 Michael Wilson,4v4,"#2 Tyler Doyle, #7 Donovan Hunter, #22 Darrius Bolden, #24 Michael Wilson",Half Court,Reversal 1,Shot Qual 2,,,,
251011,1634.7986059832158,20.639975341784293,Grey,10,,-3,Box Touch 0, | #4 Grant Neal | #22 Darrius Bolden | #24 Michael Wilson | #44 Jacob Wassler,4v4,"#4 Grant Neal, #22 Darrius Bolden, #24 Michael Wilson, #44 Jacob Wassler",Half Court,Reversal 1,Shot Qual 2,,,,
251011,1717.1978259027103,24.52866483128969,Grey,11,,"Post Touch, Post Feed",Box Touch 1, | #2 Tyler Doyle | #4 Grant Neal | #7 Donovan Hunter | #44 Jacob Wassler,4v4,"#2 Tyler Doyle, #4 Grant Neal, #7 Donovan Hunter, #44 Jacob Wassler",Half Court,Reversal 1,"Foul Drawn, Shot Qual 4",,,,
251011,1777.655288888889,21.12178464811109,Grey,12,,"Post Touch, Post Feed, -3",Box Touch 1, | #2 Tyler Doyle | #4 Grant Neal | #7 Donovan Hunter | #44 Jacob Wassler,4v4,"#2 Tyler Doyle, #4 Grant Neal, #7 Donovan Hunter, #44 Jacob Wassler",Half Court,Reversal 1,Shot Qual 3,Teaching Clip,,,
251011,1875.3983473480134,9.987749444986548,Grey,13,,,Box Touch 0, | #4 Grant Neal | #22 Darrius Bolden | #24 Michael Wilson | #44 Jacob Wassler,4v4,"#4 Grant Neal, #22 Darrius Bolden, #24 Michael Wilson, #44 Jacob Wassler",Half Court,Reversal 0,No Shot,,,,
251011,1907.5981910972766,12.213194975723354,Grey,14,,+2,Box Touch 1, | #4 Grant Neal | #22 Darrius Bolden | #24 Michael Wilson | #44 Jacob Wassler,4v4,"#4 Grant Neal, #22 Darrius Bolden, #24 Michael Wilson, #44 Jacob Wassler",Half Court,Reversal 0,Shot Qual 3,Teaching Clip,,,
251011,1929.298258945836,18.61794352316383,Grey,15,,+2,Box Touch 1, | #4 Grant Neal | #22 Darrius Bolden | #24 Michael Wilson | #44 Jacob Wassler,4v4,"#4 Grant Neal, #22 Darrius Bolden, #24 Michael Wilson, #44 Jacob Wassler",Half Court,Reversal 1,Shot Qual 4,,,,
251011,1990.8365444444444,23.005444193555604,Grey,16,,"Post Touch, Post Feed, -2",Box Touch 0, | #4 Grant Neal | #22 Darrius Bolden | #24 Michael Wilson | #44 Jacob Wassler,4v4,"#4 Grant Neal, #22 Darrius Bolden, #24 Michael Wilson, #44 Jacob Wassler",Half Court,Reversal 2,Shot Qual 1,,,,
251011,2190.3979489418894,16.742217779110433,Grey,17,,,Box Touch 0, | #2 Tyler Doyle | #7 Donovan Hunter | #22 Darrius Bolden | #24 Michael Wilson,4v4,"#2 Tyler Doyle, #7 Donovan Hunter, #22 Darrius Bolden, #24 Michael Wilson",Half Court,Reversal 1,No Shot,,,,
251011,2337.598616801516,24.051697776483707,Grey,18,,-3,Box Touch 0, | #4 Grant Neal | #22 Darrius Bolden | #24 Michael Wilson | #44 Jacob Wassler,4v4,"#4 Grant Neal, #22 Darrius Bolden, #24 Michael Wilson, #44 Jacob Wassler",Half Court,Reversal 1,Shot Qual 1,,,,
251011,2358.697912833199,21.56531091680108,Grey,19,,,Box Touch 1, | #4 Grant Neal | #22 Darrius Bolden | #24 Michael Wilson | #44 Jacob Wassler,4v4,"#4 Grant Neal, #22 Darrius Bolden, #24 Michael Wilson, #44 Jacob Wassler",Other,Reversal 1,No Shot,,,,
251011,2409.4978551535414,21.682412463458604,Grey,20,,+2,Box Touch 1, | #4 Grant Neal | #22 Darrius Bolden | #24 Michael Wilson | #44 Jacob Wassler,4v4,"#4 Grant Neal, #22 Darrius Bolden, #24 Michael Wilson, #44 Jacob Wassler",Half Court,Reversal 1,Shot Qual 2,,,,
251011,2438.798749235643,15.124441237357132,Grey,21,,-2,Box Touch 1, | #4 Grant Neal | #22 Darrius Bolden | #24 Michael Wilson | #44 Jacob Wassler,4v4,"#4 Grant Neal, #22 Darrius Bolden, #24 Michael Wilson, #44 Jacob Wassler",Half Court,Reversal 0,Shot Qual 1,,,,
