Timeline,Start time,Duration,Row,Instance number,2 Cross,Action,Box Touch Number,Lineup,LiveDrills,On Court,PossessionType,Reversal Number,Shot Quality,Teaching,Ungrouped,Notes,Flags
251003,1426.8973801925752,13.267659779424775,Grey,1,,+3,Box Touch 0, | #5 Myles Watkins | #8 Kenyon Goodin | #11 Brian Waddell | #24 Michael Wilson | #32 Jack Karasinki,Scramble,"#5 Myles Watkins, #8 Kenyon Goodin, #11 Brian Waddell, #24 Michael Wilson, #32 Jack Karasinki",Half Court,Reversal 0,Shot Qual 3,Teaching Clip,,,
251003,1447.297825843637,11.726241762363088,Grey,2,,,Box Touch 0, | #5 Myles Watkins | #8 Kenyon Goodin | #11 Brian Waddell | #24 Michael Wilson | #32 Jack Karasinki,Scramble,"#5 Myles Watkins, #8 Kenyon Goodin, #11 Brian Waddell, #24 Michael Wilson, #32 Jack Karasinki",Half Court,Reversal 0,No Shot,,,,
251003,1562.4970511519025,13.90483575009739,Grey,3,,-3,Box Touch 0, | #4 Grant Neal | #5 Myles Watkins | #8 Kenyon Goodin | #32 Jack Karasinki | #44 Jacob Wassler,Scramble,"#4 Grant Neal, #5 Myles Watkins, #8 Kenyon Goodin, #32 Jack Karasinki, #44 Jacob Wassler",Half Court,Reversal 1,Shot Qual 3,,,,
251003,1611.0983107636157,19.202355207384244,Grey,4,,-3,Box Touch 0, | #4 Grant Neal | #8 Kenyon Goodin | #11 Brian Waddell | #24 Michael Wilson | #32 Jack Karasinki,Scramble,"#4 Grant Neal, #8 Kenyon Goodin, #11 Brian Waddell, #24 Michael Wilson, #32 Jack Karasinki",Half Court,Reversal 1,Shot Qual 3,Teaching Clip,,,
251003,1810.7983356796071,19.573956626392828,Grey,5,,D REB,Box Touch 0, | #5 Myles Watkins | #8 Kenyon Goodin | #11 Brian Waddell | #24 Michael Wilson | #44 Jacob Wassler,War Scramble,"#5 Myles Watkins, #8 Kenyon Goodin, #11 Brian Waddell, #24 Michael Wilson, #44 Jacob Wassler",Half Court,Reversal 2,No Shot,,,,
251003,2824.098078680901,23.671577925098973,Grey,6,,,Box Touch 1, | #5 Myles Watkins | #8 Kenyon Goodin | #24 Michael Wilson | #32 Jack Karasinki,Box Drill Baseball,"#5 Myles Watkins, #8 Kenyon Goodin, #24 Michael Wilson, #32 Jack Karasinki",Half Court,Reversal 0,"Foul Drawn, Shot Qual 4",,,,
251003,2868.897391374211,21.124452622788795,Grey,7,,-3,Box Touch 0, | #5 Myles Watkins | #8 Kenyon Goodin | #24 Michael Wilson | #32 Jack Karasinki,Box Drill Baseball,"#5 Myles Watkins, #8 Kenyon Goodin, #24 Michael Wilson, #32 Jack Karasinki",Half Court,Reversal 4,Shot Qual 1,,,,
251003,2902.897763263985,20.041250990015214,Grey,8,,-2,Box Touch 1, | #5 Myles Watkins | #8 Kenyon Goodin | #11 Brian Waddell | #32 Jack Karasinki,Box Drill Baseball,"#5 Myles Watkins, #8 Kenyon Goodin, #11 Brian Waddell, #32 Jack Karasinki",Half Court,Reversal 2,Shot Qual 1,,,,
251003,2940.398274304648,12.187091771351788,Grey,9,,,Box Touch 0, | #5 Myles Watkins | #8 Kenyon Goodin | #11 Brian Waddell | #32 Jack Karasinki,Box Drill Baseball,"#5 Myles Watkins, #8 Kenyon Goodin, #11 Brian Waddell, #32 Jack Karasinki",Half Court,Reversal 0,No Shot,,,,
251003,2964.8984964920173,20.77125456098247,Grey,10,,+3,Box Touch 0, | #5 Myles Watkins | #8 Kenyon Goodin | #11 Brian Waddell | #32 Jack Karasinki,Box Drill Baseball,"#5 Myles Watkins, #8 Kenyon Goodin, #11 Brian Waddell, #32 Jack Karasinki",Half Court,Reversal 1,Shot Qual 3,Teaching Clip,,,
