Timeline,Start time,Duration,Row,Instance number,Action,Box Touch Number,Lineup,LiveDrills,On Court,PossessionType,Reversal Number,Shot Quality,Teaching,Ungrouped,Notes,Flags
251006,670.0993933748656,16.54025117913443,Grey,1,+3,Box Touch 0, | #2 Tyler Doyle | #8 Kenyon Goodin | #11 Brian Waddell | #24 Michael Wilson | #32 Jack Karasinki,Scramble,"#2 Tyler Doyle, #8 Kenyon Goodin, #11 Brian Waddell, #24 Michael Wilson, #32 Jack Karasinki",Half Court,Reversal 2,Shot Qual 2,Teaching Clip,,,
251006,694.7977333139486,11.465706042051465,Grey,2,,Box Touch 0, | #2 Tyler Doyle | #8 Kenyon Goodin | #11 Brian Waddell | #24 Michael Wilson | #32 Jack Karasinki,Scramble,"#2 Tyler Doyle, #8 Kenyon Goodin, #11 Brian Waddell, #24 Michael Wilson, #32 Jack Karasinki",Half Court,Reversal 0,No Shot,,,,
251006,763.298964886962,18.17959384803794,Grey,3,-3,Box Touch 0, | #4 Grant Neal | #8 Kenyon Goodin | #24 Michael Wilson | #32 Jack Karasinki | #44 Jacob Wassler,Scramble,"#4 Grant Neal, #8 Kenyon Goodin, #24 Michael Wilson, #32 Jack Karasinki, #44 Jacob Wassler",Half Court,Reversal 2,Shot Qual 3,,,,
251006,930.0984641638834,19.917761164116655,Grey,4,-3,Box Touch 0, | #2 Tyler Doyle | #8 Kenyon Goodin | #10 Grant Whitaker | #24 Michael Wilson | #32 Jack Karasinki,Scramble,"#2 Tyler Doyle, #8 Kenyon Goodin, #10 Grant Whitaker, #24 Michael Wilson, #32 Jack Karasinki",Half Court,Reversal 1,Shot Qual 3,Teaching Clip,,,
251006,1020.0981137219059,23.57613819609412,Grey,5,+3,Box Touch 0, | #2 Tyler Doyle | #8 Kenyon Goodin | #11 Brian Waddell | #24 Michael Wilson | #32 Jack Karasinki,Scramble,"#2 Tyler Doyle, #8 Kenyon Goodin, #11 Brian Waddell, #24 Michael Wilson, #32 Jack Karasinki",Half Court,Reversal 2,Shot Qual 2,,,,
251006,1070.297717322608,19.384900461392135,Grey,6,-2,Box Touch 1, | #2 Tyler Doyle | #8 Kenyon Goodin | #11 Brian Waddell | #24 Michael Wilson | #32 Jack Karasinki,Scramble,"#2 Tyler Doyle, #8 Kenyon Goodin, #11 Brian Waddell, #24 Michael Wilson, #32 Jack Karasinki",Half Court,Reversal 2,Shot Qual 1,,,,
251006,1946.9982262220071,21.329837152992923,Grey,7,-3,Box Touch 0, | #2 Tyler Doyle | #8 Kenyon Goodin | #11 Brian Waddell | #32 Jack Karasinki,Baseball,"#2 Tyler Doyle, #8 Kenyon Goodin, #11 Brian Waddell, #32 Jack Karasinki",Half Court,Reversal 2,Shot Qual 3,Teaching Clip,,,
251006,1980.3963714162198,18.767179048780235,Grey,8,,Box Touch 2, | #2 Tyler Doyle | #4 Grant Neal | #24 Michael Wilson | #44 Jacob Wassler,Baseball,"#2 Tyler Doyle, #4 Grant Neal, #24 Michael Wilson, #44 Jacob Wassler",Half Court,Reversal 1,"Foul Drawn, Shot Qual 4",Teaching Clip,,,
251006,2016.997810994894,14.707729436105865,Grey,9,,Box Touch 1, | #2 Tyler Doyle | #4 Grant Neal | #24 Michael Wilson | #44 Jacob Wassler,Baseball,"#2 Tyler Doyle, #4 Grant Neal, #24 Michael Wilson, #44 Jacob Wassler",Half Court,Reversal 1,No Shot,,,,
251006,2057.7960872738636,20.95160479013657,Grey,10,+3,Box Touch 1, | #8 Kenyon Goodin | #11 Brian Waddell | #24 Michael Wilson | #32 Jack Karasinki,Baseball,"#8 Kenyon Goodin, #11 Brian Waddell, #24 Michael Wilson, #32 Jack Karasinki",Half Court,Reversal 2,Shot Qual 3,Teaching Clip,,,
251006,2115.5998487216884,23.036896102311403,Grey,11,+3,Box Touch 0, | #8 Kenyon Goodin | #11 Brian Waddell | #24 Michael Wilson | #32 Jack Karasinki,Baseball,"#8 Kenyon Goodin, #11 Brian Waddell, #24 Michael Wilson, #32 Jack Karasinki",Half Court,Reversal 3,Shot Qual 3,Teaching Clip,,,
251006,2147.648277777778,15.848280923222319,Grey,12,Deflection,Box Touch 0, | #8 Kenyon Goodin | #11 Brian Waddell | #24 Michael Wilson | #32 Jack Karasinki,Baseball,"#8 Kenyon Goodin, #11 Brian Waddell, #24 Michael Wilson, #32 Jack Karasinki",Half Court,Reversal 0,No Shot,,,,
251006,2183.298079389252,12.733747528748154,Grey,13,+3,Box Touch 1, | #8 Kenyon Goodin | #11 Brian Waddell | #24 Michael Wilson | #32 Jack Karasinki,Baseball,"#8 Kenyon Goodin, #11 Brian Waddell, #24 Michael Wilson, #32 Jack Karasinki",Half Court,Reversal 1,Shot Qual 3,Teaching Clip,,,
251006,2226.19774788824,12.078287162759807,Grey,14,+2,Box Touch 1, | #8 Kenyon Goodin | #11 Brian Waddell | #24 Michael Wilson | #32 Jack Karasinki,Baseball,"#8 Kenyon Goodin, #11 Brian Waddell, #24 Michael Wilson, #32 Jack Karasinki",Half Court,Reversal 0,Shot Qual 3,Teaching Clip,,,
251006,2252.4983841246403,15.259423204359791,Grey,15,Deflection,Box Touch 1, | #8 Kenyon Goodin | #11 Brian Waddell | #24 Michael Wilson | #32 Jack Karasinki,Baseball,"#8 Kenyon Goodin, #11 Brian Waddell, #24 Michael Wilson, #32 Jack Karasinki",Half Court,Reversal 0,No Shot,,,,
251006,2292.213922222222,15.6241336097778,Grey,16,-2,Box Touch 1, | #8 Kenyon Goodin | #11 Brian Waddell | #24 Michael Wilson | #32 Jack Karasinki,Baseball,"#8 Kenyon Goodin, #11 Brian Waddell, #24 Michael Wilson, #32 Jack Karasinki",Half Court,Reversal 2,Shot Qual 1,,,,
251006,4033.998763776925,12.406901055075195,Grey,17,,Box Touch 0, | #2 Tyler Doyle | #8 Kenyon Goodin | #11 Brian Waddell | #24 Michael Wilson | #32 Jack Karasinki,5v5,"#2 Tyler Doyle, #8 Kenyon Goodin, #11 Brian Waddell, #24 Michael Wilson, #32 Jack Karasinki",Half Court,Reversal 0,No Shot,,,,
