Timeline,Start time,Duration,Row,Instance number,Action,Box Touch Number,Lineup,LiveDrills,On Court,PossessionType,Reversal Number,Shot Quality,Teaching,Ungrouped,Notes,Flags
251008,6058.497950984353,21.762763969646585,Grey,49,Deflection,Box Touch 1, | #2 Tyler Doyle | #8 Kenyon Goodin | #11 Brian Waddell | #22 Darrius Bolden | #24 Michael Wilson,5v5,"#2 Tyler Doyle, #8 Kenyon Goodin, #11 Brian Waddell, #22 Darrius Bolden, #24 Michael Wilson",Half Court,Reversal 0,"Foul Drawn, Shot Qual 4",,,,
251008,6108.2979922499335,13.05478342306651,Grey,50,-3,Box Touch 1, | #2 Tyler Doyle | #8 Kenyon Goodin | #11 Brian Waddell | #22 Darrius Bolden | #24 Michael Wilson,5v5,"#2 Tyler Doyle, #8 Kenyon Goodin, #11 Brian Waddell, #22 Darrius Bolden, #24 Michael Wilson",Other,Reversal 0,Shot Qual 3,,,,
251008,6278.59657161034,29.63347371766031,Grey,51,+2,Box Touch 1, | #2 Tyler Doyle | #8 Kenyon Goodin | #11 Brian Waddell | #24 Michael Wilson | #32 Jack Karasinki,5v5,"#2 Tyler Doyle, #8 Kenyon Goodin, #11 Brian Waddell, #24 Michael Wilson, #32 Jack Karasinki",Half Court,Reversal 1,Shot Qual 3,Teaching Clip,,,
251008,6322.698669831287,31.907815111713717,Grey,52,-3,Box Touch 1, | #2 Tyler Doyle | #8 Kenyon Goodin | #11 Brian Waddell | #24 Michael Wilson | #32 Jack Karasinki,5v5,"#2 Tyler Doyle, #8 Kenyon Goodin, #11 Brian Waddell, #24 Michael Wilson, #32 Jack Karasinki",Half Court,Reversal 1,Shot Qual 3,,,,
251008,6511.0980872912505,10.769333624749379,Grey,53,,Box Touch 0, | #2 Tyler Doyle | #8 Kenyon Goodin | #11 Brian Waddell | #24 Michael Wilson | #32 Jack Karasinki,5v5,"#2 Tyler Doyle, #8 Kenyon Goodin, #11 Brian Waddell, #24 Michael Wilson, #32 Jack Karasinki",Other,Reversal 0,"Foul Drawn, No Shot",,,,
251008,6744.698193831598,8.284764306402394,Grey,54,,Box Touch 0, | #2 Tyler Doyle | #8 Kenyon Goodin | #11 Brian Waddell | #32 Jack Karasinki | #44 Jacob Wassler,5v5,"#2 Tyler Doyle, #8 Kenyon Goodin, #11 Brian Waddell, #32 Jack Karasinki, #44 Jacob Wassler",Other,Reversal 0,"Foul Drawn, No Shot",,,,
251008,1086.597851665276,24.537441658723992,Red,1,+3,Box Touch 0, | #4 Grant Neal | #5 Myles Watkins | #7 Donovan Hunter | #15 Luke Anderson | #23 Sam Donald,Scramble,"#4 Grant Neal, #5 Myles Watkins, #7 Donovan Hunter, #15 Luke Anderson, #23 Sam Donald",Half Court,Reversal 1,Shot Qual 3,,,,
251008,1135.0980693870167,10.763800644983348,Red,2,,Box Touch 0, | #4 Grant Neal | #5 Myles Watkins | #7 Donovan Hunter | #15 Luke Anderson | #23 Sam Donald,Scramble,"#4 Grant Neal, #5 Myles Watkins, #7 Donovan Hunter, #15 Luke Anderson, #23 Sam Donald",Half Court,Reversal 0,No Shot,,,,
251008,1328.8979330403197,21.338869518680212,Red,3,-3,Box Touch 0, | #0 Tommy Clark | #4 Grant Neal | #7 Donovan Hunter | #14 Dom Murphy | #23 Sam Donald,Scramble,"#0 Tommy Clark, #4 Grant Neal, #7 Donovan Hunter, #14 Dom Murphy, #23 Sam Donald",Half Court,Reversal 2,Shot Qual 1,,,,
251008,1347.455694584,5.687286679999943,Red,4,-2,Box Touch 0, | #0 Tommy Clark | #4 Grant Neal | #7 Donovan Hunter | #14 Dom Murphy | #23 Sam Donald,Scramble,"#0 Tommy Clark, #4 Grant Neal, #7 Donovan Hunter, #14 Dom Murphy, #23 Sam Donald",Other,Reversal 0,Shot Qual 2,,,,
