Timeline,Start time,Duration,Row,Instance number,2 Cross,Action,Box Touch Number,Lineup,LiveDrills,On Court,PossessionType,Reversal Number,Shot Quality,Teaching,Ungrouped,Notes,Flags
251001,3541.6981898442386,23.752041540761184,Red,1,,"Assist, +3",Box Touch 0, | #7 Donovan Hunter | #8 Kenyon Goodin | #12 Myles Watkins | #21 Grant Neal | #23 Sam Donald,Scramble,"#7 Donovan Hunter, #8 Kenyon Goodin, #12 Myles Watkins, #21 Grant Neal, #23 Sam Donald",Half Court,Reversal 1,Shot Qual 3,,,,
251001,3573.797087844265,11.946720623735018,Red,2,,,Box Touch 0, | #7 Donovan Hunter | #8 Kenyon Goodin | #12 Myles Watkins | #21 Grant Neal | #23 Sam Donald,Scramble,"#7 Donovan Hunter, #8 Kenyon Goodin, #12 Myles Watkins, #21 Grant Neal, #23 Sam Donald",Half Court,Reversal 0,No Shot,,,,
251001,3823.498224398246,23.474022834754123,Red,3,,"D REB, Assist, +3",Box Touch 0, | #7 Donovan Hunter | #8 Kenyon Goodin | #12 Myles Watkins | #21 Grant Neal | #23 Sam Donald,War Scramble,"#7 Donovan Hunter, #8 Kenyon Goodin, #12 Myles Watkins, #21 Grant Neal, #23 Sam Donald",Half Court,Reversal 0,Shot Qual 3,,,,
251001,3869.998205622252,18.954303874747893,Red,4,,"D REB, Deflection, Tip Out, -3",Box Touch 0, | #7 Donovan Hunter | #8 Kenyon Goodin | #12 Myles Watkins | #21 Grant Neal | #23 Sam Donald,War Scramble,"#7 Donovan Hunter, #8 Kenyon Goodin, #12 Myles Watkins, #21 Grant Neal, #23 Sam Donald",Half Court,Reversal 0,Shot Qual 1,,,,
251001,3888.288592581,15.985154470999987,Red,5,,"O REB, -3",Box Touch 0, | #7 Donovan Hunter | #8 Kenyon Goodin | #12 Myles Watkins | #21 Grant Neal | #23 Sam Donald,War Scramble,"#7 Donovan Hunter, #8 Kenyon Goodin, #12 Myles Watkins, #21 Grant Neal, #23 Sam Donald",Half Court,Reversal 2,Shot Qual 3,,,,
251001,3901.523744444444,4.839875566555747,Red,6,,"O REB, +2",Box Touch 0, | #7 Donovan Hunter | #8 Kenyon Goodin | #12 Myles Watkins | #21 Grant Neal | #23 Sam Donald,War Scramble,"#7 Donovan Hunter, #8 Kenyon Goodin, #12 Myles Watkins, #21 Grant Neal, #23 Sam Donald",Half Court,Reversal 0,Shot Qual 4,,,,
251001,3941.1982574265517,24.261680374448133,Red,7,,"D REB, -3",Box Touch 1, | #7 Donovan Hunter | #8 Kenyon Goodin | #12 Myles Watkins | #21 Grant Neal | #23 Sam Donald,War Scramble,"#7 Donovan Hunter, #8 Kenyon Goodin, #12 Myles Watkins, #21 Grant Neal, #23 Sam Donald",Half Court,Reversal 1,Shot Qual 3,,,,
251001,3984.098481996186,23.587139917814056,Red,8,,-3,Box Touch 0, | #7 Donovan Hunter | #8 Kenyon Goodin | #12 Myles Watkins | #21 Grant Neal | #23 Sam Donald,War Scramble,"#7 Donovan Hunter, #8 Kenyon Goodin, #12 Myles Watkins, #21 Grant Neal, #23 Sam Donald",Half Court,Reversal 1,Shot Qual 2,,,,
251001,4024.2982484976733,9.3417181663267,Red,9,,"O REB, Assist, +3",Box Touch 0, | #7 Donovan Hunter | #8 Kenyon Goodin | #12 Myles Watkins | #44 Jacob Wassler,War Scramble,"#7 Donovan Hunter, #8 Kenyon Goodin, #12 Myles Watkins, #44 Jacob Wassler",Half Court,Reversal 0,Shot Qual 3,,,,
251001,4045.5979726482747,23.12740091872547,Red,10,,"D REB, -3",Box Touch 0, | #7 Donovan Hunter | #8 Kenyon Goodin | #12 Myles Watkins | #23 Sam Donald | #44 Jacob Wassler,War Scramble,"#7 Donovan Hunter, #8 Kenyon Goodin, #12 Myles Watkins, #23 Sam Donald, #44 Jacob Wassler",Half Court,Reversal 2,Shot Qual 3,Teaching Clip,,,
251001,4066.0427,21.809065190000183,Red,11,,-2,Box Touch 1, | #7 Donovan Hunter | #8 Kenyon Goodin | #12 Myles Watkins | #23 Sam Donald | #44 Jacob Wassler,War Scramble,"#7 Donovan Hunter, #8 Kenyon Goodin, #12 Myles Watkins, #23 Sam Donald, #44 Jacob Wassler",Half Court,Reversal 1,Shot Qual 1,,,,
251001,4636.798196995317,21.709463722682813,Red,12,,-3,Box Touch 0, | #7 Donovan Hunter | #8 Kenyon Goodin | #12 Myles Watkins | #23 Sam Donald,Box Drill Baseball,"#7 Donovan Hunter, #8 Kenyon Goodin, #12 Myles Watkins, #23 Sam Donald",Half Court,Reversal 0,Shot Qual 3,,,,
251001,4673.597662578939,22.68182558406079,Red,13,,+2,Box Touch 0, | #1 Ant McAfee | #7 Donovan Hunter | #12 Myles Watkins | #44 Jacob Wassler,Box Drill Baseball,"#1 Ant McAfee, #7 Donovan Hunter, #12 Myles Watkins, #44 Jacob Wassler",Half Court,Reversal 1,Shot Qual 1,,,,
251001,4718.997414080878,23.86924147512218,Red,14,,Deflection,Box Touch 1, | #1 Ant McAfee | #7 Donovan Hunter | #12 Myles Watkins | #44 Jacob Wassler,Box Drill Baseball,"#1 Ant McAfee, #7 Donovan Hunter, #12 Myles Watkins, #44 Jacob Wassler",Half Court,Reversal 2,No Shot,,,,
251001,4757.382319273921,13.676411862078567,Red,15,,"Assist, +2",Box Touch 1, | #7 Donovan Hunter | #8 Kenyon Goodin | #21 Grant Neal | #23 Sam Donald,Box Drill Baseball,"#7 Donovan Hunter, #8 Kenyon Goodin, #21 Grant Neal, #23 Sam Donald",Half Court,Reversal 1,Shot Qual 3,Teaching Clip,,,
251001,4793.897814745964,24.137113919035983,Red,16,,"Assist, +3",Box Touch 0, | #7 Donovan Hunter | #8 Kenyon Goodin | #21 Grant Neal | #23 Sam Donald,Box Drill Baseball,"#7 Donovan Hunter, #8 Kenyon Goodin, #21 Grant Neal, #23 Sam Donald",Half Court,Reversal 1,Shot Qual 2,,,,
251001,4831.59768614794,23.425376167059767,Red,17,,+3,Box Touch 0, | #7 Donovan Hunter | #8 Kenyon Goodin | #21 Grant Neal | #23 Sam Donald,Box Drill Baseball,"#7 Donovan Hunter, #8 Kenyon Goodin, #21 Grant Neal, #23 Sam Donald",Half Court,Reversal 1,Shot Qual 1,,,,
251001,4876.098128648974,13.341102624025552,Red,18,,+2,Box Touch 1, | #7 Donovan Hunter | #8 Kenyon Goodin | #21 Grant Neal | #23 Sam Donald,Box Drill Baseball,"#7 Donovan Hunter, #8 Kenyon Goodin, #21 Grant Neal, #23 Sam Donald",Half Court,Reversal 0,Shot Qual 3,,,,
251001,4901.49769023263,16.91308902637047,Red,19,,"Deflection, -3",Box Touch 1, | #7 Donovan Hunter | #8 Kenyon Goodin | #21 Grant Neal | #23 Sam Donald,Box Drill Baseball,"#7 Donovan Hunter, #8 Kenyon Goodin, #21 Grant Neal, #23 Sam Donald",Half Court,Reversal 1,Shot Qual 3,,,,
