Timeline,Start time,Duration,Row,Instance number,Action,BREAKDOWN,CLOCK,CUT TYPE,CUTTER,DATE,DefenseType,GAME,HAND OFF LOCATION,HAND OFF RECEIVER,HAND OFF TYPE,JUMP SHOT DISTANCE,Lineup,NO DRIBBLE JUMP SHOT DEFENSE,OFF SCREEN CUT TYPE,OFF SCREEN CUTTER,OFF SCREEN DIRECTION,On Court,P&R ANGLE,P&R BALL HANDLER,P&R BALL HANDLER PRIMARY MOVE,P&R BALL HANDLER SECONDARY MOVE,P&R LOCATION,PERIOD,PLAYER,RESULT,SHOOTER,SHOT TYPE,SPOT-UP DIRECTION,SPOT-UP MOVE,SPOT-UP PLAYER,Shot Quality,TEAM,TRANSITION PLAYER,TRANSITION ROLE,Ungrouped,Notes,Flags
BU vs Queens D 2,488.479,12.83,BU D vs QU,34,PaintTouch,,,,,,Transition,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU vs Queens D 2,501.309,20.253,BU D vs QU,35,3,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,
BU vs Queens D 2,521.562,12.213,BU D vs QU,36,-3,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU vs Queens D 2,533.775,11.697,BU D vs QU,37,Turnover,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,No Shot,,,,,,
BU vs Queens D 2,545.472,9.962,BU D vs QU,38,-3,,,,,,Shark,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU vs Queens D 2,555.434,10.111,BU D vs QU,39,Turnover,,,,,,Shark,,,,,,,,,,,,,,,,,,,,,,,,,No Shot,,,,,,
BU vs Queens D 2,565.545,24.575,BU D vs QU,40,-3,,,,,,Man,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU vs Queens D 2,590.12,8.694,BU D vs QU,41,3,,,,,,Badger,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU vs Queens D 2,598.814,14.015,BU D vs QU,42,"PaintTouch, -2",,,,,,Transition,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU vs Queens D 2,612.829,14.231,BU D vs QU,43,-3,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU vs Queens D 2,627.06,7.909,BU D vs QU,44,-3,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU vs Queens D 2,634.969,23.156,BU D vs QU,45,"PaintTouch, +3",,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,
BU vs Queens D 2,658.125,14.065,BU D vs QU,46,"-3, OREB",,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU vs Queens D 2,672.19,8.125,BU D vs QU,47,Turnover,,,,,,"Badger, Hog",,,,,,,,,,,,,,,,,,,,,,,,,No Shot,,,,,,
BU vs Queens D 2,680.315,14.015,BU D vs QU,48,-3,,,,,,Transition,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU vs Queens D 2,694.33,7.642,BU D vs QU,49,Turnover,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,No Shot,,,,,,
BU vs Queens D 2,701.972,9.993,BU D vs QU,50,Turnover,,,,,,"Badger, Hog",,,,,,,,,,,,,,,,,,,,,,,,,No Shot,,,,,,
BU vs Queens D 2,711.965,8.509,BU D vs QU,51,"PaintTouch, +2",,,,,,Transition,,,,,,,,,,,,,,,,,,,,,,,,,"Foul Drawn, Shot Qual 4",,,,,,
BU vs Queens D 2,720.474,9.393,BU D vs QU,52,Turnover,,,,,,Shark,,,,,,,,,,,,,,,,,,,,,,,,,No Shot,,,,,,
BU vs Queens D 2,729.867,29.413,BU D vs QU,53,3,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU vs Queens D 2,759.28,14.349,BU D vs QU,54,Turnover,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,No Shot,,,,,,
BU vs Queens D 2,773.629,21.923,BU D vs QU,55,-3,,,,,,"Puma, Hog",,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU vs Queens D 2,795.552,17.668,BU D vs QU,56,"PaintTouch, +2",,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,
BU vs Queens D 2,813.22,13.649,BU D vs QU,57,"PaintTouch, +2",,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 4,,,,,,
BU vs Queens D 2,826.869,9.626,BU D vs QU,58,Turnover,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,No Shot,,,,,,
BU vs Queens D 2,836.495,17.702,BU D vs QU,59,3,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,"Foul Drawn, Shot Qual 4",,,,,,
BU vs Queens D 2,854.197,23.592,BU D vs QU,60,-3,,,,,,Transition,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,
BU vs Queens D 2,877.789,22.606,BU D vs QU,61,-3,,,,,,"Badger, Hog",,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,
BU vs Queens D 2,908.587,10.995,BU D vs QU,62,Turnover,,,,,,Shark,,,,,,,,,,,,,,,,,,,,,,,,,No Shot,,,,,,
BU vs Queens D 2,919.582,17.352,BU D vs QU,63,-3,,,,,,Shark,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU vs Queens D 2,936.934,9.81,BU D vs QU,64,"PaintTouch, +2",,,,,,Transition,,,,,,,,,,,,,,,,,,,,,,,,,"Foul Drawn, Shot Qual 4",,,,,,
BU vs Queens D 2,946.744,8.693,BU D vs QU,65,3,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,
BU vs Queens D 2,955.437,15.048,BU D vs QU,66,"PaintTouch, PaintTouch, +2",,,,,,Transition,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,
BU vs Queens D 2,970.485,15.317,BU D vs QU,67,"PaintTouch, +2",,,,,,Shark,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,
BU vs Queens D 2,985.802,15.683,BU D vs QU,68,3,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,
BU vs Queens D 2,1001.485,13.432,BU D vs QU,69,3,,,,,,Transition,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU vs Queens D 2,1014.917,12.53,BU D vs QU,70,-3,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU vs Queens D 2,1040.91,23.692,BU D vs QU,72,"PaintTouch, -3",,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU vs Queens D 2,1064.602,9.477,BU D vs QU,73,"-3, OREB",,,,,,Badger,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU vs Queens D 2,1074.079,13.246,BU D vs QU,74,Turnover,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,No Shot,,,,,,
BU vs Queens D 2,1087.325,20.304,BU D vs QU,75,"-3, OREB",,,,,,"Puma, Hog",,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU vs Queens D 2,1107.629,12.663,BU D vs QU,76,"PaintTouch, -2",,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,
BU vs Queens D 2,1138.377,25.159,BU D vs QU,79,"PaintTouch, +3",,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,
BU vs Queens D 2,1163.536,15.866,BU D vs QU,80,"PaintTouch, +3, PaintTouch",,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,
BU vs Queens D 2,1179.402,8.809,BU D vs QU,81,PaintTouch,,,,,,Transition,,,,,,,,,,,,,,,,,,,,,,,,,"Foul Drawn, No Shot",,,,,,
BU vs Queens D 2,1188.211,25.108,BU D vs QU,82,"-3, OREB",,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,
BU vs Queens D 2,1213.319,7.592,BU D vs QU,83,"PaintTouch, +2",,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 4,,,,,,
BU vs Queens D 2,1220.911,21.906,BU D vs QU,84,-3,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
