Timeline,Start time,Duration,Row,Instance number,Action,BREAKDOWN,CLOCK,CUT TYPE,CUTTER,DATE,DefenseType,GAME,JUMP SHOT DISTANCE,Lineup,NO DRIBBLE JUMP SHOT DEFENSE,On Court,P&R ANGLE,P&R BALL HANDLER,P&R BALL HANDLER PRIMARY MOVE,P&R BALL HANDLER SECONDARY MOVE,P&R LOCATION,P&R SCREENER,P&R SCREENER MOVE,PERIOD,PLAYER,POST MOVE,POST MOVE TYPE,POST TURN,POST-UP LOCATION,POST-UP PLAYER,RESULT,SHOOTER,SHOT TYPE,SPOT-UP DIRECTION,SPOT-UP MOVE,SPOT-UP PLAYER,Shot Quality,TEAM,TRANSITION PLAYER,TRANSITION ROLE,Ungrouped,Notes,Flags
BU Defense v UNA,597.613,19.653999999999996,BU Defense v UNA,31,"PaintTouch, +2",,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 4,,,,,,
BU Defense v UNA,617.267,18.902999999999906,BU Defense v UNA,32,-3,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 1,,,,,,
BU Defense v UNA,636.17,26.00999999999999,BU Defense v UNA,33,"PaintTouch, PaintTouch",,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,"Foul Drawn, Shot Qual 4",,,,,,
BU Defense v UNA,662.18,23.007000000000062,BU Defense v UNA,34,"PaintTouch, PaintTouch, -2",,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,
BU Defense v UNA,685.187,18.753000000000043,BU Defense v UNA,35,+3,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU Defense v UNA,703.94,15.416999999999916,BU Defense v UNA,36,-3,,,,,,"Puma, Hog",,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 1,,,,,,
BU Defense v UNA,719.357,19.603000000000065,BU Defense v UNA,37,"PaintTouch, -2",,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 1,,,,,,
BU Defense v UNA,738.96,11.546999999999912,BU Defense v UNA,38,+3,,,,,,Shark,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 1,,,,,,
BU Defense v UNA,750.507,17.868000000000052,BU Defense v UNA,39,-3,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU Defense v UNA,768.375,24.158000000000015,BU Defense v UNA,40,"PaintTouch, PaintTouch, +2",,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,
BU Defense v UNA,792.533,13.865999999999985,BU Defense v UNA,41,+3,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU Defense v UNA,806.399,18.65300000000002,BU Defense v UNA,42,"PaintTouch, +2",,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 4,,,,,,
BU Defense v UNA,825.052,13.697999999999979,BU Defense v UNA,43,+3,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,
BU Defense v UNA,838.75,20.053999999999974,BU Defense v UNA,44,+3,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,
BU Defense v UNA,858.804,14.798000000000002,BU Defense v UNA,45,"PaintTouch, +2",,,,,,Transition,,,,,,,,,,,,,,,,,,,,,,,,,,"Foul Drawn, Shot Qual 4",,,,,,
BU Defense v UNA,873.602,29.547000000000025,BU Defense v UNA,46,"PaintTouch, +2",,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,
BU Defense v UNA,903.149,22.472999999999956,BU Defense v UNA,47,"PaintTouch, -2, OREB",,,,,,"Badger, Hog",,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 1,,,,,,
BU Defense v UNA,925.622,8.175000000000068,BU Defense v UNA,48,"PaintTouch, +2",,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 4,,,,,,
BU Defense v UNA,933.797,25.942999999999984,BU Defense v UNA,49,"-2, OREB",,,,,,"Badger, Hog",,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 1,,,,,,
BU Defense v UNA,959.74,12.92999999999995,BU Defense v UNA,50,"-2, OREB",,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 4,,,,,,
BU Defense v UNA,972.67,15.767000000000053,BU Defense v UNA,51,PaintTouch,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,"Foul Drawn, Shot Qual 4",,,,,,
