Timeline,Start time,Duration,Row,Instance number,Action,BREAKDOWN,CLOCK,CUT TYPE,CUTTER,DATE,DefenseType,GAME,HAND OFF LOCATION,HAND OFF RECEIVER,HAND OFF TYPE,JUMP SHOT DISTANCE,Lineup,NO DRIBBLE JUMP SHOT DEFENSE,OFF SCREEN CUT TYPE,OFF SCREEN CUTTER,OFF SCREEN DIRECTION,On Court,P&R ANGLE,P&R BALL HANDLER,P&R BALL HANDLER PRIMARY MOVE,P&R BALL HANDLER SECONDARY MOVE,P&R LOCATION,PERIOD,PLAYER,POST MOVE,POST MOVE TYPE,POST TURN,POST-UP LOCATION,POST-UP PLAYER,RESULT,SHOOTER,SHOT TYPE,SPOT-UP DIRECTION,SPOT-UP MOVE,SPOT-UP PLAYER,Shot Quality,TEAM,TRANSITION PLAYER,TRANSITION ROLE,Ungrouped,Notes,Flags
BU Defense v UCA,460.475,16.19999999999999,BU Defense v UCA,30,-3,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 1,,,,,,
BU Defense v UCA,476.675,10.829000000000008,BU Defense v UCA,31,,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Foul Drawn, Shot Qual 4",,,,,,
BU Defense v UCA,487.504,10.745000000000005,BU Defense v UCA,32,,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Foul Drawn, No Shot",,,,,,
BU Defense v UCA,498.249,13.030999999999949,BU Defense v UCA,33,-3,,,,,,Transition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,
BU Defense v UCA,511.28,24.877000000000066,BU Defense v UCA,34,"PaintTouch, Turnover",,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Shot,,,,,,
BU Defense v UCA,536.157,14.048000000000002,BU Defense v UCA,35,PaintTouch,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Foul Drawn, Shot Qual 4",,,,,,
BU Defense v UCA,550.205,16.934999999999945,BU Defense v UCA,36,"PaintTouch, PaintTouch",,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Foul Drawn, No Shot",,,,,,
BU Defense v UCA,567.14,20.922000000000025,BU Defense v UCA,37,"PaintTouch, -2",,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU Defense v UCA,588.062,16.567999999999984,BU Defense v UCA,38,-3,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU Defense v UCA,604.63,11.881999999999948,BU Defense v UCA,39,"PaintTouch, +2",,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,
BU Defense v UCA,616.512,14.09800000000007,BU Defense v UCA,40,-3,,,,,,Transition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU Defense v UCA,630.61,24.793999999999983,BU Defense v UCA,41,"PaintTouch, +2",,,,,,"Puma, Hog",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 1,,,,,,
BU Defense v UCA,655.404,14.164999999999964,BU Defense v UCA,42,-3,,,,,,Transition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU Defense v UCA,669.569,13.68100000000004,BU Defense v UCA,43,-2,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 1,,,,,,
BU Defense v UCA,683.25,27.062000000000012,BU Defense v UCA,44,"PaintTouch, PaintTouch, -2, OREB",,,,,,"Puma, Hog",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 1,,,,,,
BU Defense v UCA,710.312,20.937999999999988,BU Defense v UCA,45,"PaintTouch, -2",,,,,,"Badger, Hog",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 1,,,,,,
BU Defense v UCA,731.25,22.724000000000046,BU Defense v UCA,46,-3,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU Defense v UCA,753.974,23.424999999999955,BU Defense v UCA,47,-3,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 1,,,,,,
BU Defense v UCA,777.399,22.673000000000002,BU Defense v UCA,48,"PaintTouch, -3",,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU Defense v UCA,800.072,20.47199999999998,BU Defense v UCA,49,"PaintTouch, -2",,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 1,,,,,,
BU Defense v UCA,820.544,10.211000000000013,BU Defense v UCA,50,PaintTouch,,,,,,"Badger, Hog",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Foul Drawn, Shot Qual 4",,,,,,
BU Defense v UCA,830.755,22.573999999999955,BU Defense v UCA,51,"-3, OREB",,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU Defense v UCA,853.329,9.06000000000006,BU Defense v UCA,52,"PaintTouch, +2",,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 1,,,,,,
BU Defense v UCA,862.389,15.633000000000038,BU Defense v UCA,53,PaintTouch,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Foul Drawn, No Shot",,,,,,
BU Defense v UCA,878.022,14.214999999999918,BU Defense v UCA,54,Turnover,,,,,,Transition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Shot,,,,,,
BU Defense v UCA,892.237,14.382000000000062,BU Defense v UCA,55,+3,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU Defense v UCA,906.619,13.029999999999973,BU Defense v UCA,56,-3,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,
BU Defense v UCA,919.649,12.862999999999943,BU Defense v UCA,57,-3,,,,,,Shark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU Defense v UCA,932.512,15.350000000000023,BU Defense v UCA,58,"PaintTouch, -2",,,,,,Shark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 1,,,,,,
BU Defense v UCA,947.862,16.567999999999984,BU Defense v UCA,59,"-2, OREB",,,,,,Transition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 1,,,,,,
BU Defense v UCA,964.43,13.7650000000001,BU Defense v UCA,60,+3,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU Defense v UCA,978.195,21.171999999999912,BU Defense v UCA,61,"PaintTouch, +2",,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 1,,,,,,
BU Defense v UCA,999.367,13.013000000000034,BU Defense v UCA,62,"PaintTouch, -2, OREB",,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 1,,,,,,
BU Defense v UCA,1012.38,8.509000000000015,BU Defense v UCA,63,,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Foul Drawn, Shot Qual 4",,,,,,
BU Defense v UCA,1020.889,26.61099999999999,BU Defense v UCA,64,"PaintTouch, -2",,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,
BU Defense v UCA,1047.5,14.231999999999971,BU Defense v UCA,65,"PaintTouch, -2",,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU Defense v UCA,1061.732,19.938000000000102,BU Defense v UCA,66,"PaintTouch, -2, OREB",,,,,,"Puma, Hog",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 1,,,,,,
BU Defense v UCA,1081.67,11.42899999999986,BU Defense v UCA,67,"PaintTouch, +2",,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 4,,,,,,
BU Defense v UCA,1093.099,24.141000000000076,BU Defense v UCA,68,Turnover,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Shot,,,,,,
BU Defense v UCA,1117.24,17.201999999999998,BU Defense v UCA,69,"PaintTouch, +2",,,,,,"Puma, Hog",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,
BU Defense v UCA,1134.442,24.626999999999953,BU Defense v UCA,70,"-3, OREB",,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU Defense v UCA,1159.069,10.611000000000104,BU Defense v UCA,71,"PaintTouch, +2",,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU Defense v UCA,1169.68,16.885999999999967,BU Defense v UCA,72,"PaintTouch, +2",,,,,,Transition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Foul Drawn, Shot Qual 4",,,,,,
