Timeline,Start time,Duration,Row,Instance number,Action,BREAKDOWN,Box Touch Number,CLOCK,CUT TYPE,CUTTER,DATE,DefenseType,GAME,HAND OFF LOCATION,HAND OFF RECEIVER,HAND OFF TYPE,JUMP SHOT DISTANCE,Lineup,LiveDrills,NO DRIBBLE JUMP SHOT DEFENSE,OFF SCREEN CUT TYPE,OFF SCREEN CUTTER,OFF SCREEN DIRECTION,On Court,P&R ANGLE,P&R BALL HANDLER,P&R BALL HANDLER PRIMARY MOVE,P&R BALL HANDLER SECONDARY MOVE,P&R LOCATION,P&R SCREENER,P&R SCREENER MOVE,PERIOD,PLAYER,POST MOVE,POST MOVE TYPE,POST TURN,POST-UP LOCATION,POST-UP PLAYER,RESULT,Reversal Number,SHOOTER,SHOT TYPE,SPOT-UP DIRECTION,SPOT-UP MOVE,SPOT-UP PLAYER,Shot Quality,TEAM,TRANSITION PLAYER,TRANSITION ROLE,Teaching,Teammate,Ungrouped,Notes,Flags
BU Defense v NKU,448.747,14.048,Bellarmine Defense,30,2,,,,,,,Transition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 4,,,,,,,,
BU Defense v NKU,470.169,19.07,Bellarmine Defense,31,3,,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,,,
BU Defense v NKU,489.239,27.30299488,Bellarmine Defense,32,-3,,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 1,,,,,,,,
BU Defense v NKU,527.1019898,7.967010226,Bellarmine Defense,33,"OREB, -2",,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,,,
BU Defense v NKU,535.069,13.363,Bellarmine Defense,34,2,,,,,,,Transition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 4,,,,,,,,
BU Defense v NKU,548.432,14.815,Bellarmine Defense,35,2,,,,,,,Transition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,,,
BU Defense v NKU,563.247,23.71772924,Bellarmine Defense,36,-3,,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,,,
BU Defense v NKU,594.815202,15.96379798,Bellarmine Defense,37,"OREB, +2",,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 4,,,,,,,,
BU Defense v NKU,610.779,10.811,Bellarmine Defense,38,-3,,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,,,
BU Defense v NKU,621.59,19.287,Bellarmine Defense,39,-2,,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,,,
