Timeline,Start time,Duration,Row,Instance number,Action,BREAKDOWN,CLOCK,CUT TYPE,CUTTER,DATE,DefenseType,GAME,HAND OFF LOCATION,HAND OFF RECEIVER,HAND OFF TYPE,ISO DIRECTION,ISO LOCATION,ISO MOVE,ISO PLAYER,JUMP SHOT DISTANCE,Lineup,NO DRIBBLE JUMP SHOT DEFENSE,OFF SCREEN CUT TYPE,OFF SCREEN CUTTER,OFF SCREEN DIRECTION,On Court,P&R ANGLE,P&R BALL HANDLER,P&R BALL HANDLER PRIMARY MOVE,P&R BALL HANDLER SECONDARY MOVE,P&R LOCATION,PERIOD,PLAYER,POST MOVE,POST MOVE TYPE,POST TURN,POST-UP LOCATION,POST-UP PLAYER,RESULT,SHOOTER,SHOT TYPE,SPOT-UP DIRECTION,SPOT-UP MOVE,SPOT-UP PLAYER,Shot Quality,TEAM,TRANSITION PLAYER,TRANSITION ROLE,Ungrouped,Notes,Flags
BU Defense v Lipscomb,455.79,16.38299999999998,BU Defense v Lipscomb,26,"-3, OREB",,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU Defense v Lipscomb,472.173,12.680000000000007,BU Defense v Lipscomb,27,+3,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU Defense v Lipscomb,484.853,19.370000000000005,BU Defense v Lipscomb,28,+3,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU Defense v Lipscomb,504.223,15.800000000000011,BU Defense v Lipscomb,29,-3,,,,,,"Badger, Hog",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU Defense v Lipscomb,520.023,13.731999999999971,BU Defense v Lipscomb,30,-3,,,,,,Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,
BU Defense v Lipscomb,533.755,11.812000000000012,BU Defense v Lipscomb,31,"+2, PaintTouch",,,,,,Transition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 4,,,,,,
BU Defense v Lipscomb,545.567,25.525999999999954,BU Defense v Lipscomb,32,"PaintTouch, OREB, -3",,,,,,"Badger, Man",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 1,,,,,,
BU Defense v Lipscomb,571.093,9.509999999999991,BU Defense v Lipscomb,33,"PaintTouch, -2",,,,,,Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 1,,,,,,
BU Defense v Lipscomb,580.603,13.064000000000078,BU Defense v Lipscomb,34,"PaintTouch, PaintTouch, +2",,,,,,Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 4,,,,,,
BU Defense v Lipscomb,593.667,23.740999999999985,BU Defense v Lipscomb,35,"PaintTouch, +3",,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,
BU Defense v Lipscomb,617.408,8.708999999999946,BU Defense v Lipscomb,36,,,,,,,Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Foul Drawn, No Shot",,,,,,
BU Defense v Lipscomb,626.117,10.442999999999984,BU Defense v Lipscomb,37,"OREB, +2",,,,,,Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 4,,,,,,
BU Defense v Lipscomb,636.56,15.217000000000098,BU Defense v Lipscomb,38,Turnover,,,,,,Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Shot,,,,,,
BU Defense v Lipscomb,651.777,27.71199999999999,BU Defense v Lipscomb,39,-3,,,,,,Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU Defense v Lipscomb,679.489,30.062999999999988,BU Defense v Lipscomb,40,"PaintTouch, -3, OREB",,,,,,Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,
BU Defense v Lipscomb,709.552,12.047000000000025,BU Defense v Lipscomb,41,"PaintTouch, -2",,,,,,Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU Defense v Lipscomb,721.599,20.487999999999943,BU Defense v Lipscomb,42,Turnover,,,,,,Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Shot,,,,,,
BU Defense v Lipscomb,742.087,13.748000000000047,BU Defense v Lipscomb,43,+3,,,,,,Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU Defense v Lipscomb,755.835,20.954999999999927,BU Defense v Lipscomb,44,+2,,,,,,Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 1,,,,,,
BU Defense v Lipscomb,776.79,14.899000000000001,BU Defense v Lipscomb,45,-2,,,,,,Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 1,,,,,,
BU Defense v Lipscomb,791.689,20.302999999999997,BU Defense v Lipscomb,46,"PaintTouch, +2",,,,,,Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,
BU Defense v Lipscomb,811.992,24.591999999999985,BU Defense v Lipscomb,47,Turnover,,,,,,"Puma, Hog",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Shot,,,,,,
BU Defense v Lipscomb,836.584,9.426000000000045,BU Defense v Lipscomb,48,Turnover,,,,,,Transition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Shot,,,,,,
BU Defense v Lipscomb,846.01,17.652000000000044,BU Defense v Lipscomb,49,"PaintTouch, PaintTouch, +2",,,,,,Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 4,,,,,,
BU Defense v Lipscomb,863.662,18.567999999999984,BU Defense v Lipscomb,50,-3,,,,,,Transition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 1,,,,,,
BU Defense v Lipscomb,882.23,15.41700000000003,BU Defense v Lipscomb,51,,,,,,,"Badger, Man",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Foul Drawn, Shot Qual 4",,,,,,
BU Defense v Lipscomb,897.647,33.48299999999995,BU Defense v Lipscomb,52,"PaintTouch, PaintTouch",,,,,,Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Foul Drawn, Shot Qual 4",,,,,,
BU Defense v Lipscomb,931.13,21.974000000000046,BU Defense v Lipscomb,53,"PaintTouch, -2",,,,,,Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 1,,,,,,
BU Defense v Lipscomb,953.104,17.434999999999945,BU Defense v Lipscomb,54,"-3, OREB",,,,,,Transition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 1,,,,,,
